,Nom,Type,Pop21,Pop16,Km2,accroissement_population,Population_Cat21,Population_Cat16
234,Saint-Ulric,MÉ,1567.0,1585.0,120.45,-1.135646687697161,1000 à 2499,1000 à 2499
235,Sainte-Félicité 3,MÉ,1100.0,1087.0,90.73,1.1959521619135234,1000 à 2499,1000 à 2499
236,Sainte-Paule,MÉ,247.0,233.0,83.36,6.008583690987124,Moins de 1000,Moins de 1000
237,Albertville,MÉ,239.0,226.0,103.13,5.752212389380531,Moins de 1000,Moins de 1000
238,Lac-au-Saumon,MÉ,1488.0,1450.0,81.05,2.6206896551724137,1000 à 2499,1000 à 2499
239,Saint-Vianney,MÉ,446.0,441.0,145.6,1.1337868480725624,Moins de 1000,Moins de 1000
240,Sainte-Florence,MÉ,367.0,384.0,103.48,-4.427083333333333,Moins de 1000,Moins de 1000
241,Sainte-Marguerite-Marie,MÉ,183.0,166.0,85.97,10.240963855421686,Moins de 1000,Moins de 1000
242,Sayabec 3,MÉ,1706.0,1831.0,130.31,-6.826870562534134,1000 à 2499,1000 à 2499
243,Val-Brillant,MÉ,899.0,927.0,77.9,-3.0204962243797193,Moins de 1000,Moins de 1000
244,Grand-Métis 3,MÉ,218.0,213.0,25.12,2.347417840375587,Moins de 1000,Moins de 1000
245,Les Hauteurs,MÉ,485.0,504.0,102.92,-3.7698412698412698,Moins de 1000,Moins de 1000
246,Padoue,MÉ,250.0,245.0,66.66,2.0408163265306123,Moins de 1000,Moins de 1000
